# skill	id	name	xpPerHour	benchmarkLevel	notes	source
FISHING	leechfin	Leechfin · drop fish · level 90 (est.)	120900	90	Derived level-90 estimate: 131000 x (204/221), rounded to 100 XP/hr; equal effort assumed. Requires 78 Fishing / The Blood Moon Rises. See research notes.	https://oldschool.runescape.wiki/w/Leechfin
FISHING	leechfin-cut	Leechfin · cut fish · level 90 (est.)	72540	90	Derived level-90 estimate: 131000 x (204/221), rounded to 100 XP/hr; equal effort assumed. Then x 0.60 for cutting. Requires 78 Fishing / The Blood Moon Rises. See research notes.	https://oldschool.runescape.wiki/w/Leechfin
FIREMAKING	fireline-white	White logs · fire lines	74250	1	Banked logs; Wiki 1485 logs/hour, lower rates for willow/teak include failures.	https://oldschool.runescape.wiki/w/Pay-to-play_Firemaking_training
FIREMAKING	fireline-willow	Willow logs · fire lines	107000	30	Banked logs; Wiki 1485 logs/hour, lower rates for willow/teak include failures.	https://oldschool.runescape.wiki/w/Pay-to-play_Firemaking_training
FIREMAKING	fireline-teak	Teak logs · fire lines	138000	35	Banked logs; Wiki 1485 logs/hour, lower rates for willow/teak include failures.	https://oldschool.runescape.wiki/w/Pay-to-play_Firemaking_training
FIREMAKING	fireline-arctic	Arctic pine logs · fire lines	185625	42	Banked logs; Wiki 1485 logs/hour, lower rates for willow/teak include failures.	https://oldschool.runescape.wiki/w/Pay-to-play_Firemaking_training
FIREMAKING	fireline-maple	Maple logs · fire lines	200475	45	Banked logs; Wiki 1485 logs/hour, lower rates for willow/teak include failures.	https://oldschool.runescape.wiki/w/Pay-to-play_Firemaking_training
FIREMAKING	fireline-mahogany	Mahogany logs · fire lines	233887	50	Banked logs; Wiki 1485 logs/hour, lower rates for willow/teak include failures.	https://oldschool.runescape.wiki/w/Pay-to-play_Firemaking_training
FIREMAKING	fireline-yew	Yew logs · fire lines	300712	60	Banked logs; Wiki 1485 logs/hour, lower rates for willow/teak include failures.	https://oldschool.runescape.wiki/w/Pay-to-play_Firemaking_training
FIREMAKING	fireline-magic	Magic logs · fire lines	451143	75	Banked logs; Wiki 1485 logs/hour, lower rates for willow/teak include failures.	https://oldschool.runescape.wiki/w/Pay-to-play_Firemaking_training
FIREMAKING	campfire-normal	Logs · campfire / AFK	26600	1	Automatic tending; banked logs. Lower-attention campfire, not fire lines.	https://oldschool.runescape.wiki/w/Forester%27s_Campfire
FIREMAKING	campfire-oak	Oak logs · campfire / AFK	39900	15	Automatic tending; banked logs. Lower-attention campfire, not fire lines.	https://oldschool.runescape.wiki/w/Forester%27s_Campfire
FIREMAKING	campfire-willow	Willow logs · campfire / AFK	59850	30	Automatic tending; banked logs. Lower-attention campfire, not fire lines.	https://oldschool.runescape.wiki/w/Forester%27s_Campfire
FIREMAKING	campfire-maple	Maple logs · campfire / AFK	89775	45	Automatic tending; banked logs. Lower-attention campfire, not fire lines.	https://oldschool.runescape.wiki/w/Forester%27s_Campfire
FIREMAKING	campfire-yew	Yew logs · campfire / AFK	134662	60	Automatic tending; banked logs. Lower-attention campfire, not fire lines.	https://oldschool.runescape.wiki/w/Forester%27s_Campfire
FIREMAKING	campfire-magic	Magic logs · campfire / AFK	202027	75	Automatic tending; banked logs. Lower-attention campfire, not fire lines.	https://oldschool.runescape.wiki/w/Forester%27s_Campfire
HUNTER	stymphikes-82	Stymphikes · level 82	120000	82	The Blood Moon Rises; letvek bait already supplied, hunting spears, hide in bushes. Bait gathering excluded. Wiki table via OSRS Index.	https://oldschool.runescape.wiki/w/Stymphike
HUNTER	stymphikes-85	Stymphikes · level 85	130000	85	The Blood Moon Rises; letvek bait already supplied, hunting spears, hide in bushes. Bait gathering excluded. Wiki table via OSRS Index.	https://oldschool.runescape.wiki/w/Stymphike
HUNTER	stymphikes-86	Stymphikes · level 86	140000	86	The Blood Moon Rises; letvek bait already supplied, hunting spears, hide in bushes. Bait gathering excluded. Wiki table via OSRS Index.	https://oldschool.runescape.wiki/w/Stymphike
FIREMAKING	campfire-redwood	Redwood logs · campfire / AFK	232750	90	Automatic tending; banked logs. Lower-attention campfire, not fire lines.	https://oldschool.runescape.wiki/w/Forester%27s_Campfire
HUNTER	drift-net	Drift net fishing · level 70	116725	70	Level 70 Hunter AND Fishing; 1150 shoals/hour; Bone Voyage, nets and underwater gear. Same session trains both skills: use Passive / ignore time manually to avoid counting both full times.	https://oldschool.runescape.wiki/w/Hunter_training
FISHING	drift-net	Drift net fishing · level 70	88550	70	Level 70 Hunter AND Fishing; 1150 shoals/hour; Bone Voyage, nets and underwater gear. Same session trains both skills: use Passive / ignore time manually to avoid counting both full times.	https://oldschool.runescape.wiki/w/Hunter_training
SMITHING	foundry-rune-addy	Giants' Foundry · Rune / adamant 14:14	253110	85	All optimal moulds; 11 swords/hour; no Smiths' Uniform. Banked materials. Wiki table via OSRS Index.	https://oldschool.runescape.wiki/w/Giants%27_Foundry/Strategies
RUNECRAFT	gotr-no-combo-40	Guardians of the Rift · no-combo · 40 (est.)	25000	40	Shared provisional Wiki level-band estimate; separate combo/non-combo XP rates not verified. Temple of the Eye; best available pouches.	https://oldschool.runescape.wiki/w/Pay-to-play_Runecraft_training
RUNECRAFT	gotr-combo-40	Guardians of the Rift · combo · 40 (est.)	25000	40	Shared provisional Wiki level-band estimate; separate combo/non-combo XP rates not verified. Temple of the Eye; best available pouches. Magic Imbue (82 Magic), Lunar Diplomacy, binding necklace.	https://oldschool.runescape.wiki/w/Pay-to-play_Runecraft_training
RUNECRAFT	gotr-no-combo-50	Guardians of the Rift · no-combo · 50 (est.)	40000	50	Shared provisional Wiki level-band estimate; separate combo/non-combo XP rates not verified. Temple of the Eye; best available pouches.	https://oldschool.runescape.wiki/w/Pay-to-play_Runecraft_training
RUNECRAFT	gotr-combo-50	Guardians of the Rift · combo · 50 (est.)	40000	50	Shared provisional Wiki level-band estimate; separate combo/non-combo XP rates not verified. Temple of the Eye; best available pouches. Magic Imbue (82 Magic), Lunar Diplomacy, binding necklace.	https://oldschool.runescape.wiki/w/Pay-to-play_Runecraft_training
RUNECRAFT	gotr-no-combo-75	Guardians of the Rift · no-combo · 75 (est.)	50000	75	Shared provisional Wiki level-band estimate; separate combo/non-combo XP rates not verified. Temple of the Eye; best available pouches.	https://oldschool.runescape.wiki/w/Pay-to-play_Runecraft_training
RUNECRAFT	gotr-combo-75	Guardians of the Rift · combo · 75 (est.)	50000	75	Shared provisional Wiki level-band estimate; separate combo/non-combo XP rates not verified. Temple of the Eye; best available pouches. Magic Imbue (82 Magic), Lunar Diplomacy, binding necklace.	https://oldschool.runescape.wiki/w/Pay-to-play_Runecraft_training
RUNECRAFT	gotr-no-combo-85	Guardians of the Rift · no-combo · 85 (est.)	65000	85	Shared provisional Wiki level-band estimate; separate combo/non-combo XP rates not verified. Temple of the Eye; best available pouches. Coordinated small team.	https://oldschool.runescape.wiki/w/Pay-to-play_Runecraft_training
RUNECRAFT	gotr-combo-85	Guardians of the Rift · combo · 85 (est.)	65000	85	Shared provisional Wiki level-band estimate; separate combo/non-combo XP rates not verified. Temple of the Eye; best available pouches. Coordinated small team. Magic Imbue (82 Magic), Lunar Diplomacy, binding necklace.	https://oldschool.runescape.wiki/w/Pay-to-play_Runecraft_training
PRAYER	bone-shards-wine-70	Bone shards · blessed wine · lvl 70	1050000	70	Banked blessed bone shards; manual 1-tick offerings, banking/blessing wine and Shrine of Ralos recharge trips. Wiki existing-shards benchmark; lower end if a range. Excludes gathering/blessing/chiselling bones and preparing sunfire wine.	https://oldschool.runescape.wiki/w/Pay-to-play_Prayer_training#By_using_existing_shards
PRAYER	bone-shards-sunfire-70	Bone shards · sunfire wine · lvl 70	1124000	70	Banked blessed bone shards; manual 1-tick offerings, banking/blessing wine and Shrine of Ralos recharge trips. Wiki existing-shards benchmark; lower end if a range. Excludes gathering/blessing/chiselling bones and preparing sunfire wine.	https://oldschool.runescape.wiki/w/Pay-to-play_Prayer_training#By_using_existing_shards
PRAYER	bone-shards-wine-88	Bone shards · blessed wine · lvl 88	1110000	88	Banked blessed bone shards; manual 1-tick offerings, banking/blessing wine and Shrine of Ralos recharge trips. Wiki existing-shards benchmark; lower end if a range. Excludes gathering/blessing/chiselling bones and preparing sunfire wine.	https://oldschool.runescape.wiki/w/Pay-to-play_Prayer_training#By_using_existing_shards
PRAYER	bone-shards-sunfire-88	Bone shards · sunfire wine · lvl 88	1320000	88	Banked blessed bone shards; manual 1-tick offerings, banking/blessing wine and Shrine of Ralos recharge trips. Wiki existing-shards benchmark; lower end if a range. Excludes gathering/blessing/chiselling bones and preparing sunfire wine.	https://oldschool.runescape.wiki/w/Pay-to-play_Prayer_training#By_using_existing_shards
WOODCUTTING	teaks-1.5tick-80	Teaks · 1.5-tick · lvl 80	208000	80	Wiki benchmark with crystal felling axe and forester's rations; consistent tick manipulation and dropping logs. Planted teak trees on Fossil Island; two log rolls per 3-tick cycle. No supply gathering; actual rates depend on execution.	https://oldschool.runescape.wiki/w/Pay-to-play_Woodcutting_training
WOODCUTTING	teaks-2tick-80	Teaks · 2-tick · lvl 80	186000	80	Wiki benchmark with crystal felling axe and forester's rations; consistent tick manipulation and dropping logs. Auto-retaliate setup using birds or rabbits; one log roll per 2-tick cycle. No supply gathering; actual rates depend on execution.	https://oldschool.runescape.wiki/w/Pay-to-play_Woodcutting_training
WOODCUTTING	teaks-1.5tick-90	Teaks · 1.5-tick · lvl 90	222000	90	Wiki benchmark with crystal felling axe and forester's rations; consistent tick manipulation and dropping logs. Planted teak trees on Fossil Island; two log rolls per 3-tick cycle. No supply gathering; actual rates depend on execution.	https://oldschool.runescape.wiki/w/Pay-to-play_Woodcutting_training
WOODCUTTING	teaks-2tick-90	Teaks · 2-tick · lvl 90	201000	90	Wiki benchmark with crystal felling axe and forester's rations; consistent tick manipulation and dropping logs. Auto-retaliate setup using birds or rabbits; one log roll per 2-tick cycle. No supply gathering; actual rates depend on execution.	https://oldschool.runescape.wiki/w/Pay-to-play_Woodcutting_training
